,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2880,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
