,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
2280,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
2340,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1
2400,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
2460,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2520,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2580,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1
2640,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2700,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0
2760,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1
2820,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
2880,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1
2940,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0
3000,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1
3060,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1
3120,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1
3180,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1
3240,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1
3300,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0
3360,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
3420,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
3480,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0
3540,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0
